Time,Open,High,Low,Close,Volume
2023.01.03 00:00	1826.63	1832.28	1823.58	1828.38	9405
2023.01.03 04:00	1828.38	1842.96	1828.19	1840.28	14100
2023.01.03 08:00	1840.26	1849.88	1834.44	1838.73	27492
2023.01.03 12:00	1838.64	1841.02	1830.73	1838.8	22982
2023.01.03 16:00	1838.83	1849.73	1827.41	1839.18	37248
2023.01.03 20:00	1839.17	1840.14	1836.41	1839.32	17390
2023.01.04 00:00	1838.42	1844.4	1836.02	1844.27	9354
2023.01.04 04:00	1844.19	1846.99	1843.31	1846.3	11765
2023.01.04 08:00	1846.31	1865.01	1845.59	1860.42	25371
2023.01.04 12:00	1860.44	1862.72	1852.68	1859.98	26229
2023.01.04 16:00	1859.9	1860.77	1848.83	1850.38	43527
2023.01.04 20:00	1850.37	1857.05	1846.96	1854.5	24321
2023.01.05 00:00	1854.22	1858.84	1853.68	1858.68	9138
2023.01.05 04:00	1858.67	1858.67	1850.11	1852.46	13536
2023.01.05 08:00	1852.5	1855.5	1843.66	1848.42	22730
2023.01.05 12:00	1848.56	1851.17	1832.83	1834.63	27848
2023.01.05 16:00	1834.62	1837.72	1824.95	1833.8	40308
2023.01.05 20:00	1833.76	1837.32	1831.81	1832.85	16199
2023.01.06 00:00	1830.04	1835.96	1830.03	1835.4	7012
2023.01.06 04:00	1835.35	1840.71	1835.34	1836.91	12154
2023.01.06 08:00	1836.92	1840.48	1833.14	1835.36	14925
2023.01.06 12:00	1835.4	1852.43	1833.95	1851.69	27150
2023.01.06 16:00	1851.64	1864.91	1840.54	1862.25	47824
2023.01.06 20:00	1862.28	1869.75	1861.6	1865.75	15097
2023.01.09 00:00	1867.25	1875.11	1866.18	1874.25	10590
2023.01.09 04:00	1874.26	1879.35	1874.07	1877.8	12673
2023.01.09 08:00	1877.81	1880.84	1871.16	1873.47	20836
2023.01.09 12:00	1873.48	1878.28	1870.4	1878.07	19722
2023.01.09 16:00	1878.04	1881.36	1868.92	1871.71	35073
2023.01.09 20:00	1871.72	1875.69	1869.08	1871.56	16850
2023.01.10 00:00	1871.25	1875.74	1867.63	1874.26	9417
2023.01.10 04:00	1874.3	1875.5	1870.52	1873.89	11645
2023.01.10 08:00	1873.92	1877.21	1870.44	1876.71	20157
2023.01.10 12:00	1876.71	1876.99	1870.24	1873.21	23610
2023.01.10 16:00	1873.24	1880.59	1871.02	1874.09	41824
2023.01.10 20:00	1874.1	1878.6	1871.83	1876.78	12803
2023.01.11 00:00	1876.52	1878.32	1871.88	1872.86	7803
2023.01.11 04:00	1872.84	1884.49	1872.15	1882.24	12762
2023.01.11 08:00	1882.27	1886.47	1880.2	1884.54	21851
2023.01.11 12:00	1884.48	1885.97	1875.67	1877.45	24479
2023.01.11 16:00	1877.48	1879.04	1866.96	1873.68	36036
2023.01.11 20:00	1873.68	1878.39	1872.84	1875.58	13537
2023.01.12 00:00	1875.0	1880.97	1874.3	1880.4	9396
2023.01.12 04:00	1880.38	1884.87	1879.99	1883.53	11640
2023.01.12 08:00	1883.52	1885.31	1879.74	1884.22	18004
2023.01.12 12:00	1884.23	1901.48	1870.41	1899.41	30676
2023.01.12 16:00	1899.44	1901.25	1879.66	1897.54	54306
2023.01.12 20:00	1897.54	1899.39	1893.92	1896.66	19353
2023.01.13 00:00	1895.88	1900.79	1895.16	1898.62	11946
2023.01.13 04:00	1898.66	1899.71	1892.15	1893.53	13859
2023.01.13 08:00	1893.54	1909.57	1893.37	1904.25	27342
2023.01.13 12:00	1904.24	1906.82	1893.51	1899.91	28317
